city_from,city_to,transitmode,persona,total distance,total time,total Cost,start time,transfertime,eagres time,stop1 lat,stop 1 long,stop 2 lat,stop 2 long,stp3 lat,stop 3 lon,
67,73,3,4,321km,7h55min,$83.70,10:45 AM,1:40PM-2:30PM,6:40 PM,OntarioNorthlandNorthBayBusStation,,Pembroke,,PeterboroughGreyhoundStation ,,
66,73,3,4,283km,6h5min,$28,5:25 AM,8:05AM-9:30AM,11:30 AM,KingandClarenceMegabusStop,,UnionStation,,PeterboroughGreyhoundStation ,,
64,73,3,4,N/A,,,,,,,,,,,,
75,73,3,5,339km,5h45min,$62.10,4:00 AM,6:35AM-7:30AM,9:45 AM,LondonGreyhound,,UnionStation,,PeterboroughGreyhoundStation,,
74,73,3,5,205km,5h45min,$46.30,11:00 AM,12:15PM-2:30PM,4:45 PM,HamiltonGO,,UnionStation,,PeterboroughGreyhoundStation,,
72,73,3,5,145km,2h15min,$20.40,7:30 AM,,9:45 AM,UnionStation ,,PeterboroughGreyhoundStation,,,,
71,73,3,5,398km,9h50min,$83.70,9:00 AM,2:30PM-4PM,6:50 PM,OntarioNorthlandSudburyBusDepot,,UnionStation,,PeterboroughGreyhoundStation,,
70,73,3,5,232km,7h15min,$34,9:30 AM,11:35AM-2:30PM,4:45 PM,CharlesStreetTerminal,,UnionStation,,PeterboroughGreyhoundStation,,
69,73,3,5,217km,4h55min,$46.30,11:50 AM,1:30PM-2:30PM,4:45 PM,BarrieBusTerminal ,,UnionStation,,PeterboroughGreyhoundStation,,
68,73,3,5,268km,4h5min,$53.20,7:00 AM,,11:05 AM,OttawaCentralStation,,PeterboroughGreyhoundStation,,,,
67,73,3,5,321km,7h55min,$83.70,10:45 AM,1:40PM-2:30PM,6:40 PM,OntarioNorthlandNorthBayBusStation,,Pembroke,,PeterboroughGreyhoundStation ,,
66,73,3,5,283km,11h20min,$29,5:25 AM,8:05AM-2:30PM,4:45 PM,KingandClarenceMegabusStop,,UnionStation,,PeterboroughGreyhoundStation ,,
64,73,3,5,N/A,,,,,,,,,,,,
66,75,3,1,198km,9h,$37.00,5:25 AM,8:05AM-10AM,2:25 PM,KingAndClarenceMegabusStop,,UnionStation,,LondonGreyhound,,\
\
66,74,3,1,92km,6h5min,$24,5:25 AM,8:05AM-10AM,11:30 AM,KingAndClarenceMegabusStop,,UnionStation,,HamiltonGO,,
66,73,3,1,RepeatFromAbove,,,,,,,,,,,,
66,72,3,1,147km,2h40min,$14,5:25 AM,,8:05 AM,KingAndClarenceMegabusStop,,UnionStation,,,,
66,71,3,1,515km,16h5min,$67,5:25 AM,8:05AM-4PM,9:30 PM,KingAndClarenceMegabusStop,,UnionStation,,OntarioNorthlandSudburyBusDepot,,
66,70,3,1,159km,5h,$25.00,5:25 AM,8:05AM-8:30AM,10:25 AM,KingAndClarenceMegabusStop,,UnionStation,,CharlesStreetTerminal,,
66,69,3,1,225km,11h55min,$26,5:25 AM,8:05AM-3:15PM,5:20 PM,KingAndClarenceMegabusStop,,UnionStation,,BarrieBusTerminal,,
66,68,3,1,594km,8h25min,$55,5:25 AM,8:05AM-8:30AM,1:50 PM,KingAndClarenceMegabusStop,,UnionStation,,OttawaCentralStation,,
66,67,3,1,623km,28h50min,$104.40,5:25 AM,8:05AM-4PM-9:30PM-8:30AM,10:15 AM,KingAndClarenceMegabusStop,,UnionStation,,OntarioNorthlandSudburyBusDepot,,OntarioNorthlandNorthBayBusStation
66,64,3,1,409km,23h30min,$65.20,12:45 PM,4:05PM-8PM-9:55PM-10:15AM,12:15 PM,KingAndClarenceMegabusStop,,UnionStation,,PeterboroughGreyhoundStation,,MaynoothGreyhound
66,75,3,2,198km,9h,$37.00,5:25 AM,8:05AM-10AM,2:25 PM,KingAndClarenceMegabusStop,,UnionStation,,LondonGreyhound,,
66,74,3,2,92km,6h5min,$24,5:25 AM,8:05AM-10AM,11:30 AM,KingAndClarenceMegabusStop,,UnionStation,,HamiltonGO,,
66,73,3,2,RepeatFromAbove,,,,,,,,,,,,
66,72,3,2,147km,3h20min,$18,12:45 PM,,4:05 PM,KingAndClarenceMegabusStop,,UnionStation,,,,
