city_from,city_to,transitmode,persona,total distance,time,total Cost,start time,transfertime,eagres time,stop 1 lat,stop 1 long,stop 2 lat,stop 2 long,stop 3 lat,stop 3 long,stop 4 lat,stop 4 long,rowiid
Hamilton,Greater Sudbury,3,4,436km,630,$77.80,11:00 AM,12:15PM-4PM,9:30 PM,43.253217,-79.869159,43.646652,-79.384396,46.504838,-80.938205,,,67
Hamilton,Kitchener ,3,4,66km,95,$10,9:30 AM,,11:05 AM,43.253217,-79.869159,43.449564,-80.492256,,,,,68
Hamilton,Barrie,3,4,146km,380,$33.70,11:00 AM,12:15PM-3:15PM,5:20 PM,43.253217,-79.869159,43.646652,-79.384396,44.387776,-79.690978,,,69
Hamilton,Ottawa,3,4,516km,540,$65,11:00 AM,12:15PM-2:30PM,8:00 PM,43.253217,-79.869159,43.646652,-79.384396,45.408603,-75.695007,,,70
Hamilton,North Bay ,3,4,393km,1030,$89.70,10:10 PM,11:45PM-12:30AM-6:20AM-10AM,3:20 PM,43.253217,-79.869159,43.646652,-79.384396,45.408603,-75.695007,46.313901,-79.438546,71
Hamilton,Hastings Highlands,3,4,331km,2595,$77.50,5:00 PM,6:50PM-3:10PM-4:45PM-10:10AM,12:15 PM,43.253217,-79.869159,43.775108,-79.254744,44.304691,-78.323045,45.231021,-77.937785,72
Hamilton,London,3,5,138km,165,$39.10,11:40 AM,,2:25 PM,43.253217,-79.869159,42.980546,-81.250705,,,,,73
Hamilton,Toronto,3,5,69km,75,$12.70,11:00 AM,,12:15 PM,43.253217,-79.869159,43.646652,-79.384396,,,,,74
Hamilton,Greater Sudbury,3,5,436km,630,$77.50,11:00 AM,12:15PM-4PM,9:30 PM,43.253217,-79.869159,43.646652,-79.384396,46.504838,-80.938205,,,75
Hamilton,Kitchener ,3,5,66km,95,$10,9:30 AM,,11:05 AM,43.253217,-79.869159,43.449564,-80.492256,,,,,76
Hamilton,Barrie,3,5,146km,380,$43.20,11:00 AM,12:15PM-3:15PM,5:20 PM,43.253217,-79.869159,43.646652,-79.384396,44.387776,-79.690978,,,77
Hamilton,Ottawa,3,5,516km,540,$76,11:00 AM,12:15PM-2:30PM,8:00 PM,43.253217,-79.869159,43.646652,-79.384396,45.408603,-75.695007,,,78
Hamilton,North Bay ,3,5,393km,1030,$94.20,10:10 PM,11:45PM-12:30AM-6:20AM-10AM,3:20 PM,43.253217,-79.869159,43.646652,-79.384396,45.408603,-75.695007,46.313901,-79.438546,79
Hamilton,Hastings Highlands,3,5,331km,2595,$77.50,5:00 PM,6:50PM-3:10PM-4:45PM-10:10AM,12:15 PM,43.253217,-79.869159,43.775108,-79.254744,44.304691,-78.323045,45.231021,-77.937785,80
Toronto,London,3,1,194km,150,$29.00,8:00 AM,,10:30 AM,43.646652,-79.384396,42.980546,-81.250705,,,,,81
Toronto,Hamilton,3,1,68km,90,$10.20,10:00 AM,,11:30 AM,43.646652,-79.384396,43.253217,-79.869159,,,,,82
Toronto,Greater Sudbury,3,1,400km,330,$53.10,4:00 PM,,9:30 PM,43.646652,-79.384396,46.504838,-80.938205,,,,,83
Toronto,Kitchener ,3,1,107km,135,$11,6:45 AM,,9:00 AM,43.646652,-79.384396,43.449564,-80.492256,,,,,84
